day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong
2025-08-13,short,2025-08-13 10:00:00-04:00,24017.25,2025-08-13 10:11:30-04:00,23980.375,147.5,4,118.0,win,target_scale2,24032.0,24005.0,2025-08-13 09:58:00-04:00,2025-08-13 09:58:00-04:00,2025-08-13 09:58:00-04:00,14.75,23980.375,,,0.5462962962962963,0,False
2025-08-13,short,2025-08-13 10:00:00-04:00,24017.25,2025-08-13 10:28:30-04:00,23958.25,236.0,4,118.0,win,target_scale3,24032.0,24005.0,2025-08-13 09:58:00-04:00,2025-08-13 09:58:00-04:00,2025-08-13 09:58:00-04:00,14.75,23958.25,,,0.5462962962962963,0,False
2025-08-13,short,2025-08-13 10:00:00-04:00,24017.25,2025-08-13 11:09:00-04:00,23921.375,383.5,4,118.0,win,target,24032.0,24005.0,2025-08-13 09:58:00-04:00,2025-08-13 09:58:00-04:00,2025-08-13 09:58:00-04:00,14.75,23921.375,,,0.5462962962962963,0,False
2025-08-14,long,2025-08-14 11:51:00-04:00,23927.5,2025-08-14 12:01:00-04:00,23927.0,-1.5,3,388.5,forced_close,forced_close,23862.75,24005.5,2025-08-14 11:27:00-04:00,2025-08-14 11:27:00-04:00,2025-08-14 11:28:00-04:00,64.75,24005.2,,,0.45359019264448336,0,False
2025-08-15,short,2025-08-15 10:47:00-04:00,23813.0,2025-08-15 11:16:30-04:00,23813.0,0.0,3,421.5,win,target,23883.25,23766.0,2025-08-15 10:10:00-04:00,2025-08-15 10:10:00-04:00,2025-08-15 10:16:00-04:00,70.25,23728.7,,,0.5991471215351812,1,False
2025-08-18,long,2025-08-18 09:48:00-04:00,23792.5,2025-08-18 09:52:00-04:00,23752.0,-445.5,11,484.0,loss,direction_flip,23770.5,23818.25,2025-08-18 09:36:00-04:00,2025-08-18 09:36:00-04:00,2025-08-18 09:43:00-04:00,22.0,23818.9,2025-08-18 09:52:00-04:00,23770.5,0.4607329842931937,0,False
2025-08-18,short,2025-08-18 09:58:00-04:00,23751.0,2025-08-18 10:04:00-04:00,23780.75,-386.75,13,481.0,loss,stop,23769.5,23744.25,2025-08-18 09:56:00-04:00,2025-08-18 09:56:00-04:00,2025-08-18 09:56:00-04:00,18.5,23728.8,2025-08-18 10:04:00-04:00,23769.5,0.7326732673267327,0,False
2025-08-18,short,2025-08-18 10:43:00-04:00,23763.75,2025-08-18 10:45:30-04:00,23749.95,68.99999999999636,5,115.0,win,target_scale1,23775.25,23761.5,2025-08-18 10:41:00-04:00,2025-08-18 10:41:00-04:00,2025-08-18 10:42:00-04:00,11.5,23749.95,,,0.8363636363636363,0,False
2025-08-18,short,2025-08-18 10:43:00-04:00,23763.75,2025-08-18 10:47:00-04:00,23735.0,143.75,5,115.0,win,target_scale2,23775.25,23761.5,2025-08-18 10:41:00-04:00,2025-08-18 10:41:00-04:00,2025-08-18 10:42:00-04:00,11.5,23735.0,,,0.8363636363636363,0,False
2025-08-18,short,2025-08-18 10:43:00-04:00,23763.75,2025-08-18 10:53:00-04:00,23770.75,-35.0,5,115.0,loss,stop,23775.25,23761.5,2025-08-18 10:41:00-04:00,2025-08-18 10:41:00-04:00,2025-08-18 10:42:00-04:00,11.5,23717.75,2025-08-18 10:53:00-04:00,23769.5,0.8363636363636363,0,False
2025-08-20,short,2025-08-20 09:35:00-04:00,23371.5,2025-08-20 09:44:30-04:00,23333.7,37.79999999999927,1,63.0,win,target_scale1,23403.0,23362.0,2025-08-20 09:34:00-04:00,2025-08-20 09:34:00-04:00,2025-08-20 09:35:00-04:00,31.5,23333.7,,,0.7682926829268293,1,True
2025-08-20,short,2025-08-20 09:35:00-04:00,23371.5,2025-08-20 09:45:30-04:00,23308.5,126.0,2,126.0,win,target_scale2,23403.0,23362.0,2025-08-20 09:34:00-04:00,2025-08-20 09:34:00-04:00,2025-08-20 09:35:00-04:00,31.5,23308.5,,,0.7682926829268293,1,True
2025-08-20,short,2025-08-20 09:35:00-04:00,23371.5,2025-08-20 09:48:00-04:00,23277.0,378.0,4,252.0,win,target,23403.0,23362.0,2025-08-20 09:34:00-04:00,2025-08-20 09:34:00-04:00,2025-08-20 09:35:00-04:00,31.5,23277.0,,,0.7682926829268293,1,True
2025-08-21,long,2025-08-21 09:44:00-04:00,23263.5,2025-08-21 09:46:00-04:00,23208.5,-495.0,9,499.5,loss,stop,23235.75,23290.5,2025-08-21 09:41:00-04:00,2025-08-21 09:41:00-04:00,2025-08-21 09:42:00-04:00,27.75,23296.8,2025-08-21 09:46:00-04:00,23235.75,0.5068493150684932,0,False
2025-08-21,long,2025-08-21 10:09:00-04:00,23275.0,2025-08-21 10:13:00-04:00,23292.1,68.39999999999418,4,114.0,win,target_scale1,23260.75,23289.25,2025-08-21 10:08:00-04:00,2025-08-21 10:08:00-04:00,2025-08-21 10:08:00-04:00,14.25,23292.1,,,0.5,0,False
2025-08-21,long,2025-08-21 10:09:00-04:00,23275.0,2025-08-21 10:18:00-04:00,23310.625,142.5,4,114.0,win,target_scale2,23260.75,23289.25,2025-08-21 10:08:00-04:00,2025-08-21 10:08:00-04:00,2025-08-21 10:08:00-04:00,14.25,23310.625,,,0.5,0,False
2025-08-21,long,2025-08-21 10:09:00-04:00,23275.0,2025-08-21 10:29:30-04:00,23332.0,228.0,4,114.0,win,target_scale3,23260.75,23289.25,2025-08-21 10:08:00-04:00,2025-08-21 10:08:00-04:00,2025-08-21 10:08:00-04:00,14.25,23332.0,,,0.5,0,False
2025-08-21,long,2025-08-21 10:09:00-04:00,23275.0,2025-08-21 10:38:30-04:00,23275.0,0.0,5,142.5,win,target,23260.75,23289.25,2025-08-21 10:08:00-04:00,2025-08-21 10:08:00-04:00,2025-08-21 10:08:00-04:00,14.25,23367.625,,,0.5,0,False
2025-08-25,short,2025-08-25 09:45:00-04:00,23480.75,2025-08-25 09:57:00-04:00,23502.0,-170.0,8,496.0,loss,stop,23511.75,23445.0,2025-08-25 09:38:00-04:00,2025-08-25 09:38:00-04:00,2025-08-25 09:39:00-04:00,31.0,23443.55,2025-08-25 09:57:00-04:00,23496.25,0.46441947565543074,0,False
2025-08-26,long,2025-08-26 10:00:00-04:00,23494.5,2025-08-26 10:00:30-04:00,23508.3,68.99999999999636,5,115.0,win,target_scale1,23483.0,23506.5,2025-08-26 09:57:00-04:00,2025-08-26 09:57:00-04:00,2025-08-26 09:57:00-04:00,11.5,23508.3,,,0.48936170212765956,0,False
2025-08-26,long,2025-08-26 10:00:00-04:00,23494.5,2025-08-26 10:11:00-04:00,23523.25,143.75,5,115.0,win,target_scale2,23483.0,23506.5,2025-08-26 09:57:00-04:00,2025-08-26 09:57:00-04:00,2025-08-26 09:57:00-04:00,11.5,23523.25,,,0.48936170212765956,0,False
2025-08-26,long,2025-08-26 10:00:00-04:00,23494.5,2025-08-26 10:23:00-04:00,23540.5,230.0,5,115.0,win,target_scale3,23483.0,23506.5,2025-08-26 09:57:00-04:00,2025-08-26 09:57:00-04:00,2025-08-26 09:57:00-04:00,11.5,23540.5,,,0.48936170212765956,0,False
