open_date,direction,displacement_category,entry_time,pivot_time,flem_time,current_time,label,retrace,pivot_price,flem_price,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,score,pred_top2
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:04:30-05:00,0,-19.345238095238095,21018.75,21039.75,21.0,14490.0,9.25,64.25,6.425,0.5,2,10,3.7012562515759736e-16,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:05:00-05:00,0,-19.142857142857142,21018.75,21039.75,21.0,14520.0,4.0,68.25,6.204545454545454,0.5454545454545454,3,11,6.199719108556426e-16,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:05:30-05:00,0,-19.22619047619047,21018.75,21039.75,21.0,14550.0,2.0,70.25,5.854166666666667,0.5,3,12,7.746350220728268e-16,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:06:00-05:00,0,-19.11904761904762,21018.75,21039.75,21.0,14580.0,1.5,71.75,5.519230769230769,0.5384615384615384,3,13,1.0017621672886316e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:06:30-05:00,0,-18.857142857142858,21018.75,21039.75,21.0,14610.0,5.5,77.25,5.517857142857143,0.5714285714285714,3,14,1.296346690821329e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:07:00-05:00,0,-19.214285714285715,21018.75,21039.75,21.0,14640.0,7.5,84.75,5.65,0.5333333333333333,3,15,1.7175582182099107e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:07:30-05:00,0,-19.178571428571427,21018.75,21039.75,21.0,14670.0,1.0,85.75,5.359375,0.5625,3,16,2.5272715676440194e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:08:00-05:00,0,-19.19047619047619,21018.75,21039.75,21.0,14700.0,0.5,86.25,5.073529411764706,0.5882352941176471,3,17,3.2892012691797594e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:08:30-05:00,0,-19.035714285714285,21018.75,21039.75,21.0,14730.0,2.75,89.0,4.944444444444445,0.6111111111111112,3,18,4.227621431616566e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:09:00-05:00,0,-19.107142857142858,21018.75,21039.75,21.0,14760.0,1.75,90.75,4.776315789473684,0.5789473684210527,3,19,5.520633100974692e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:09:30-05:00,0,-18.964285714285715,21018.75,21039.75,21.0,14790.0,3.0,93.75,4.6875,0.6,3,20,7.317272367757099e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:10:00-05:00,0,-19.345238095238095,21018.75,21039.75,21.0,14820.0,8.25,102.0,4.857142857142857,0.5714285714285714,3,21,9.22603279616971e-15,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:10:30-05:00,0,-19.36904761904762,21018.75,21039.75,21.0,14850.0,0.0,102.0,4.636363636363637,0.5454545454545454,3,22,1.3842799863557357e-14,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:11:00-05:00,0,-19.595238095238095,21018.75,21039.75,21.0,14880.0,5.5,107.5,4.673913043478261,0.5217391304347826,3,23,1.6833214483829227e-14,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:11:30-05:00,0,-19.75,21018.75,21039.75,21.0,14910.0,3.25,110.75,4.614583333333333,0.5,3,24,2.3399301358428636e-14,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:12:00-05:00,0,-19.845238095238095,21018.75,21039.75,21.0,14940.0,1.25,112.0,4.48,0.48,3,25,3.17821285171462e-14,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:12:30-05:00,0,-19.88095238095238,21018.75,21039.75,21.0,14970.0,1.25,113.25,4.355769230769231,0.4615384615384615,3,26,4.164168192928833e-14,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:13:00-05:00,0,-19.464285714285715,21018.75,21039.75,21.0,15000.0,9.0,122.25,4.527777777777778,0.4814814814814814,3,27,5.19420511556893e-14,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:13:30-05:00,0,-19.77380952380953,21018.75,21039.75,21.0,15030.0,6.5,128.75,4.598214285714286,0.4642857142857143,3,28,7.524526009795496e-14,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:14:00-05:00,0,-19.416666666666668,21018.75,21039.75,21.0,15060.0,7.75,136.5,4.706896551724138,0.4827586206896552,3,29,1.0513519111326394e-13,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:14:30-05:00,0,-19.11904761904762,21018.75,21039.75,21.0,15090.0,5.75,142.25,4.741666666666666,0.5,3,30,1.5371830917419793e-13,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:15:00-05:00,0,-19.071428571428573,21018.75,21039.75,21.0,15120.0,0.5,142.75,4.604838709677419,0.5161290322580645,3,31,2.290717039638072e-13,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:15:30-05:00,0,-18.785714285714285,21018.75,21039.75,21.0,15150.0,5.25,148.0,4.625,0.53125,4,32,3.292447325088676e-13,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:16:00-05:00,0,-19.178571428571427,21018.75,21039.75,21.0,15180.0,8.25,156.25,4.734848484848484,0.5151515151515151,4,33,4.304730523784977e-13,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:16:30-05:00,0,-19.22619047619047,21018.75,21039.75,21.0,15210.0,1.25,157.5,4.632352941176471,0.5,4,34,6.560611162444997e-13,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:17:00-05:00,0,-19.404761904761905,21018.75,21039.75,21.0,15240.0,4.0,161.5,4.614285714285714,0.4857142857142857,4,35,8.372606209944958e-13,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:17:30-05:00,0,-19.392857142857142,21018.75,21039.75,21.0,15270.0,0.75,162.25,4.506944444444445,0.5,4,36,1.2062607870377464e-12,0
