open_date,direction,entry_time,pivot_time,outcome,label_win,retrace,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,zone_over_range,pivot_over_range,dist_to_extrema_atr,zone_to_extrema_atr,hod_rel_entry_atr,lod_rel_entry_atr
2025-04-01,short,2025-04-01 09:38:00-04:00,2025-04-01 09:38:00-04:00,loss,0,0.8531468531468531,35.75,0.0,28.0,28.0,28.0,0.0,0,1,0.4089709762532981,0.3773087071240105,0.8577712609970676,0.2441348973607038,0.0,0.8577712609970676
2025-04-01,long,2025-04-01 09:45:00-04:00,2025-04-01 09:44:00-04:00,win,1,0.7330316742081447,55.25,60.0,10.25,19.5,6.5,0.6666666666666666,1,3,0.4089709762532981,0.58311345646438,0.6624136097820308,1.391812865497076,0.6624136097820308,0.0
2025-04-01,long,2025-04-01 10:06:00-04:00,2025-04-01 10:06:00-04:00,loss,0,0.625,44.0,0.0,4.25,4.25,4.25,0.0,0,1,0.3125,0.3548387096774194,2.064896755162242,2.0924287118977385,2.064896755162242,0.0
2025-04-03,long,2025-04-03 09:38:00-04:00,2025-04-03 09:38:00-04:00,win,1,0.5406360424028268,70.75,0.0,3.75,3.75,3.75,1.0,1,1,0.6027397260273972,0.4845890410958904,0.6314826113483831,1.273947528981086,0.6314826113483831,0.0
2025-04-03,long,2025-04-03 09:51:00-04:00,2025-04-03 09:50:00-04:00,loss,0,0.5845824411134903,116.75,60.0,2.5,56.5,18.833333333333332,1.0,3,3,0.5390505359877489,0.7151607963246555,1.380204241948154,1.6551453260015712,1.380204241948154,0.0
2025-04-03,short,2025-04-03 10:09:00-04:00,2025-04-03 10:09:00-04:00,win,1,0.5959183673469388,61.25,0.0,3.75,3.75,3.75,1.0,1,1,0.4808743169398907,0.3346994535519125,0.5337052533705253,0.5141794514179452,0.0,0.5337052533705253
2025-04-04,short,2025-04-04 09:36:00-04:00,2025-04-04 09:36:00-04:00,win,1,0.6540697674418605,86.0,0.0,25.0,25.0,25.0,1.0,1,1,0.4903988183161004,0.5081240768094535,0.3346153846153846,0.946153846153846,0.0,0.3346153846153846
2025-04-04,short,2025-04-04 09:52:00-04:00,2025-04-04 09:51:00-04:00,loss,0,0.5526315789473685,66.5,60.0,16.0,41.5,13.833333333333334,0.6666666666666666,2,3,0.3405128205128205,0.2728205128205128,2.5269421487603303,2.517685950413223,0.0,2.5269421487603303
2025-04-04,short,2025-04-04 10:06:00-04:00,2025-04-04 10:06:00-04:00,win,1,1.0600858369098711,58.25,0.0,7.75,7.75,7.75,1.0,1,1,0.3405128205128205,0.2389743589743589,1.8907915993537965,2.460743134087237,0.0,1.8907915993537965
2025-04-07,short,2025-04-07 09:36:00-04:00,2025-04-07 09:35:00-04:00,win,1,0.8696969696969697,82.5,60.0,19.5,80.5,26.833333333333332,0.6666666666666666,1,3,0.3006042296072507,0.4984894259818731,0.3479061205706396,0.8955361251725724,0.0,0.3479061205706396
