day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2026-01-07,short,long,2026-01-07 09:38:00-05:00,25807.5,2026-01-07 09:39:00-05:00,25819.5,-576.0,24,492.0,win,target,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.25,25819.75,,,0.28169014084507044,0,False,0.6406431913375854,True
2026-01-09,long,short,2026-01-09 10:12:00-05:00,25674.75,2026-01-09 10:13:00-05:00,25724.5,2288.5,23,494.5,loss,direction_flip,25685.5,25615.75,2026-01-09 10:11:00-05:00,2026-01-09 10:11:00-05:00,2026-01-09 10:12:00-05:00,10.75,25661.75,2026-01-09 10:13:00-05:00,25685.5,0.15053763440860216,0,False,0.7380743145942688,True
2026-01-13,long,short,2026-01-13 10:07:00-05:00,25947.5,2026-01-13 10:07:30-05:00,25935.5,-576.0,24,492.0,win,target,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,10.25,25935.25,,,0.1532567049808429,0,False,0.6445892453193665,True
2026-01-15,long,short,2026-01-15 09:44:00-05:00,25901.75,2026-01-15 09:44:30-05:00,25899.5,-747.0,166,498.0,win,target,25903.25,25853.0,2026-01-15 09:43:00-05:00,2026-01-15 09:43:00-05:00,2026-01-15 09:44:00-05:00,1.5,25899.25,,,0.024875621890547265,0,False,0.6620998978614807,True
2026-01-15,long,short,2026-01-15 10:36:00-05:00,25913.0,2026-01-15 10:39:00-05:00,25899.75,-583.0,22,495.0,win,target,25924.25,25853.0,2026-01-15 09:47:00-05:00,2026-01-15 09:47:00-05:00,2026-01-15 09:48:00-05:00,11.25,25899.5,,,0.1543859649122807,0,False,0.71406489610672,True
2026-01-15,long,short,2026-01-15 10:41:00-05:00,25909.25,2026-01-15 10:41:30-05:00,25906.25,-540.0,90,495.0,win,target,25912.0,25853.0,2026-01-15 10:40:00-05:00,2026-01-15 10:40:00-05:00,2026-01-15 10:41:00-05:00,2.75,25906.0,,,0.0423728813559322,0,False,0.9919999957084655,True
2026-01-20,short,long,2026-01-20 09:38:00-05:00,25284.25,2026-01-20 09:38:30-05:00,25294.0,-585.0,30,495.0,win,target,25276.0,25357.25,2026-01-20 09:36:00-05:00,2026-01-20 09:36:00-05:00,2026-01-20 09:37:00-05:00,8.25,25294.25,,,0.09846153846153846,0,False,0.7103721857070923,True
2026-01-20,short,long,2026-01-20 09:41:00-05:00,25251.5,2026-01-20 09:41:30-05:00,25258.25,-580.5,43,494.5,win,target,25245.75,25357.25,2026-01-20 09:40:00-05:00,2026-01-20 09:40:00-05:00,2026-01-20 09:41:00-05:00,5.75,25258.5,,,0.04932735426008968,0,False,0.6892183423042297,True
2026-01-20,short,long,2026-01-20 10:10:00-05:00,25272.25,2026-01-20 10:11:30-05:00,25285.75,-567.0,21,483.0,win,target,25260.75,25357.25,2026-01-20 09:44:00-05:00,2026-01-20 09:44:00-05:00,2026-01-20 10:10:00-05:00,11.5,25286.0,,,0.11658031088082901,0,False,0.9919999957084655,True
2026-01-20,short,long,2026-01-20 10:16:00-05:00,25279.5,2026-01-20 10:18:30-05:00,25293.25,-577.5,21,493.5,win,target,25267.75,25357.25,2026-01-20 10:15:00-05:00,2026-01-20 10:15:00-05:00,2026-01-20 10:16:00-05:00,11.75,25293.5,,,0.12849162011173185,0,False,0.6424532890319824,True
