day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2024-08-26,short,short,2024-08-26 09:46:00-04:00,19740.25,2024-08-26 09:55:00-04:00,19714.0,577.5,11,484.0,win,target,19762.25,19743.0,2024-08-26 09:45:00-04:00,2024-08-26 09:45:00-04:00,2024-08-26 09:45:00-04:00,22.0,19713.75,,,1.12987012987013,0,False,0.7074307203292847,False
2024-08-27,long,short,2024-08-27 09:52:00-04:00,19509.5,2024-08-27 09:53:00-04:00,19533.5,1056.0,22,495.0,loss,direction_flip,19520.75,19441.75,2024-08-27 09:51:00-04:00,2024-08-27 09:51:00-04:00,2024-08-27 09:51:00-04:00,11.25,19496.0,2024-08-27 09:53:00-04:00,19520.75,0.13924050632911392,0,False,0.7203681230545044,True
2024-08-27,long,long,2024-08-27 10:05:00-04:00,19552.0,2024-08-27 10:11:00-04:00,19577.25,555.5,11,467.5,win,target,19530.75,19570.75,2024-08-27 10:04:00-04:00,2024-08-27 10:04:00-04:00,2024-08-27 10:04:00-04:00,21.25,19577.5,,,0.525,1,False,0.8827272772789001,False
2024-08-30,short,short,2024-08-30 09:39:00-04:00,19546.5,2024-08-30 09:42:00-04:00,19565.25,-562.5,15,480.0,loss,stop,19562.5,19513.0,2024-08-30 09:38:00-04:00,2024-08-30 09:38:00-04:00,2024-08-30 09:38:00-04:00,16.0,19527.25,2024-08-30 09:42:00-04:00,19562.5,0.3181818181818182,1,False,0.7282064080238342,False
2024-08-30,long,short,2024-08-30 09:44:00-04:00,19563.5,2024-08-30 09:45:00-04:00,19554.25,-573.5,31,496.0,win,target,19571.5,19513.0,2024-08-30 09:43:00-04:00,2024-08-30 09:43:00-04:00,2024-08-30 09:43:00-04:00,8.0,19554.0,,,0.13247863247863248,0,False,0.7309814333915711,True
2024-08-30,long,long,2024-08-30 09:49:00-04:00,19561.5,2024-08-30 09:51:00-04:00,19540.25,-722.5,17,484.5,loss,direction_flip,19547.25,19585.0,2024-08-30 09:47:00-04:00,2024-08-30 09:47:00-04:00,2024-08-30 09:49:00-04:00,14.25,19578.5,2024-08-30 09:51:00-04:00,19547.25,0.3708609271523179,1,False,0.6549289107322693,False
2024-08-30,long,long,2024-08-30 09:54:00-04:00,19595.25,2024-08-30 10:00:30-04:00,19620.0,594.0,12,498.0,win,target,19574.5,19589.75,2024-08-30 09:53:00-04:00,2024-08-30 09:53:00-04:00,2024-08-30 09:53:00-04:00,20.75,19620.25,,,1.3442622950819672,0,False,0.645660674571991,False
2024-08-30,short,long,2024-08-30 10:13:00-04:00,19583.0,2024-08-30 10:17:00-04:00,19567.0,640.0,20,490.0,loss,stop,19570.75,19628.0,2024-08-30 10:06:00-04:00,2024-08-30 10:06:00-04:00,2024-08-30 10:10:00-04:00,12.25,19597.75,2024-08-30 10:17:00-04:00,19570.75,0.2096069868995633,0,False,0.9125757575035095,True
2024-08-30,short,long,2024-08-30 10:21:00-04:00,19572.0,2024-08-30 10:22:00-04:00,19546.5,1020.0,20,480.0,loss,direction_flip,19560.0,19628.0,2024-08-30 10:20:00-04:00,2024-08-30 10:20:00-04:00,2024-08-30 10:21:00-04:00,12.0,19586.5,2024-08-30 10:22:00-04:00,19560.0,0.17279411764705882,0,False,0.6549289107322693,True
2024-08-30,long,short,2024-08-30 10:25:00-04:00,19557.0,2024-08-30 10:25:30-04:00,19551.25,-575.0,50,500.0,win,target,19562.0,19541.0,2024-08-30 10:23:00-04:00,2024-08-30 10:23:00-04:00,2024-08-30 10:25:00-04:00,5.0,19551.0,,,0.2261904761904762,0,False,0.9919999957084655,True
2024-08-30,long,short,2024-08-30 10:29:00-04:00,19543.5,2024-08-30 10:31:00-04:00,19556.5,520.0,20,500.0,loss,stop,19556.0,19517.25,2024-08-30 10:28:00-04:00,2024-08-30 10:28:00-04:00,2024-08-30 10:29:00-04:00,12.5,19528.5,2024-08-30 10:31:00-04:00,19556.0,0.3161290322580645,0,False,0.7187679648399353,True
2024-08-30,long,short,2024-08-30 10:33:00-04:00,19560.25,2024-08-30 10:33:30-04:00,19554.0,-562.5,45,495.0,win,target,19565.75,19517.25,2024-08-30 10:32:00-04:00,2024-08-30 10:32:00-04:00,2024-08-30 10:33:00-04:00,5.5,19553.75,,,0.10824742268041238,0,False,1.0,True
2024-08-30,long,long,2024-08-30 10:43:00-04:00,19596.75,2024-08-30 10:45:00-04:00,19549.25,-760.0,8,460.0,loss,stop,19568.0,19585.0,2024-08-30 10:38:00-04:00,2024-08-30 10:38:00-04:00,2024-08-30 10:38:00-04:00,28.75,19631.25,2024-08-30 10:45:00-04:00,19568.0,1.6764705882352942,1,False,0.6499334692955017,False
